frame,x,y
114,175.0,183.0
115,175.0,183.0
116,175.0,183.0
117,175.0,183.0
118,175.0,183.0
119,175.0,183.0
120,175.0,183.0
121,174.1,182.3
122,173.2,181.6
123,172.3,180.9
124,171.4,180.2
125,170.5,179.5
126,169.6,178.8
127,168.7,178.1
128,167.8,177.4
129,166.9,176.7
130,166.0,176.0
131,166.0,176.0
132,166.0,176.0
133,166.0,176.0
134,166.0,176.0
135,166.0,176.0
136,166.0,176.0
137,166.0,176.0
138,166.0,176.0
139,166.0,176.0
140,166.0,176.0
141,166.0,176.0
142,166.0,176.0
143,166.0,176.0
144,166.0,176.0
145,166.0,176.0
146,166.0,176.0
147,166.0,176.0
148,166.0,176.0
149,166.0,176.0
150,166.0,176.0
151,166.0,176.0
152,166.0,176.0
153,166.0,176.0
154,166.0,176.0
155,166.0,176.0
156,166.0,176.0
157,166.0,176.0
158,166.0,176.0
159,166.0,176.0
160,166.0,176.0
161,166.0,176.0
162,166.0,176.0
163,166.0,176.0
164,166.0,176.0
165,166.0,176.0
166,166.0,176.0
167,166.0,176.0
168,166.0,176.0
169,166.0,176.0
170,166.0,176.0
171,166.0,176.0
172,166.0,176.0
173,166.0,176.0
174,166.0,176.0
175,166.0,176.0
176,166.0,176.0
177,166.0,176.0
178,166.0,176.0
179,166.0,176.0
180,166.0,176.0
181,164.9,177.4
182,163.8,178.8
183,162.7,180.2
184,161.6,181.6
185,160.5,183.0
186,159.4,184.4
187,158.3,185.8
188,157.2,187.2
189,156.1,188.6
190,155.0,190.0
191,152.1,189.4
192,149.2,188.8
193,146.3,188.2
194,143.4,187.6
195,140.5,187.0
196,137.6,186.4
197,134.7,185.8
198,131.8,185.2
199,128.9,184.6
200,126.0,184.0
201,126.0,184.0
202,126.0,184.0
203,126.0,184.0
204,126.0,184.0
205,126.0,184.0
206,126.0,184.0
207,126.0,184.0
208,126.0,184.0
209,126.0,184.0
210,126.0,184.0
211,126.0,184.0
212,126.0,184.0
213,126.0,184.0
214,126.0,184.0
215,126.0,184.0
216,126.0,184.0
217,126.0,184.0
218,126.0,184.0
219,126.0,184.0
220,126.0,184.0
221,126.0,184.0
222,126.0,184.0
223,126.0,184.0
224,126.0,184.0
225,126.0,184.0
226,126.0,184.0
227,126.0,184.0
228,126.0,184.0
229,126.0,184.0
230,126.0,184.0
231,126.0,184.0
232,126.0,184.0
233,126.0,184.0
234,126.0,184.0
235,126.0,184.0
236,126.0,184.0
237,126.0,184.0
238,126.0,184.0
239,126.0,184.0
240,126.0,184.0
241,126.0,184.0
242,126.0,184.0
243,126.0,184.0
244,126.0,184.0
245,126.0,184.0
246,126.0,184.0
247,126.0,184.0
248,126.0,184.0
249,126.0,184.0
250,126.0,184.0
251,126.0,184.0
252,126.0,184.0
253,126.0,184.0
254,126.0,184.0
255,126.0,184.0
256,126.0,184.0
257,126.0,184.0
258,126.0,184.0
259,126.0,184.0
260,126.0,184.0
261,126.0,184.0
262,126.0,184.0
263,126.0,184.0
264,126.0,184.0
265,126.0,184.0
266,126.0,184.0
267,126.0,184.0
268,126.0,184.0
269,126.0,184.0
270,126.0,184.0
271,126.0,184.0
272,126.0,184.0
273,126.0,184.0
274,126.0,184.0
275,126.0,184.0
276,126.0,184.0
277,126.0,184.0
278,126.0,184.0
279,126.0,184.0
280,126.0,184.0
281,125.6,182.4
282,125.2,180.8
283,124.8,179.2
284,124.4,177.6
285,124.0,176.0
286,123.6,174.4
287,123.2,172.8
288,122.8,171.2
289,122.4,169.6
290,122.0,168.0
291,122.0,168.0
292,122.0,168.0
293,122.0,168.0
294,122.0,168.0
295,122.0,168.0
296,122.0,168.0
297,122.0,168.0
298,122.0,168.0
299,122.0,168.0
300,122.0,168.0
301,122.0,168.0
302,122.0,168.0
303,122.0,168.0
304,122.0,168.0
305,122.0,168.0
306,122.0,168.0
307,122.0,168.0
308,122.0,168.0
309,122.0,168.0
310,122.0,168.0
311,119.0,169.4
312,116.0,170.8
313,113.0,172.2
314,110.0,173.6
315,107.0,175.0
316,104.0,176.4
317,101.0,177.8
318,98.0,179.2
